max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,2,990,28,14,5.357143,9.357142,42.38625,19,1,59,43,48,1,1,1
30,2,1000,27,13,5.5555553,10.153846,57.948708,18,1,59,43,48,1,1,1
30,3,10,108,10,1.3888888,3.3,0.5576317,117,1,49,49,52,1,1,1
30,3,20,119,9,1.2605042,3.1111112,0.38071528,122,1,49,49,52,1,1,1
30,3,30,118,7,1.2711865,3.4285715,0.4215568,126,1,49,49,52,1,1,1
30,3,40,110,10,1.3636364,3.6,0.6555472,114,1,49,49,52,1,1,1
30,3,50,114,9,1.3157895,4,0.8374484,114,1,49,49,52,1,1,1
30,3,60,104,8,1.4423077,5.625,2.404404,105,1,49,49,52,1,1,1
30,3,70,93,12,1.6129032,4.8333335,2.652878,92,1,49,49,52,1,1,1
30,3,80,88,14,1.7045455,4.357143,2.1415882,89,1,49,49,52,1,1,1
30,3,90,85,17,1.7647059,4.0588236,2.2773125,81,1,49,49,52,1,1,1
30,3,100,83,13,1.8072289,5.076923,3.1087215,84,1,49,49,52,1,1,1
30,3,110,75,15,2,5.4,4.7297297,69,1,49,49,52,1,1,1
30,3,120,75,15,2,5.266667,4.1621623,71,1,49,49,52,1,1,1
30,3,130,70,12,2.142857,6.6666665,6.2111797,70,1,49,49,52,1,1,1
30,3,140,68,15,2.2058823,5.8,8.822655,63,1,49,49,52,1,1,1
