max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,2,560,40,18,3.75,6.888889,14.192307,26,1,55,51,44,1,1,1
30,2,570,41,14,3.6585367,8.214286,39.980515,35,1,55,51,44,1,1,1
30,2,580,42,17,3.5714285,6.8235292,16.104523,34,1,55,51,44,1,1,1
30,2,590,43,19,3.488372,6.3157897,17.54154,29.999992,1,55,51,44,1,1,1
30,2,600,40,18,3.75,6.888889,21.371796,26,1,55,51,44,1,1,1
30,2,610,37,16,4.0540543,7.8125,27.83034,25,1,55,51,44,1,1,1
30,2,620,39,14,3.8461537,8.357142,25.344128,33.000008,1,55,51,44,1,1,1
30,2,630,40,14,3.75,8.357142,25.576923,33.000008,1,55,51,44,1,1,1
30,2,640,49,18,3.0612245,6.2222223,16.18368,38,1,55,51,44,1,1,1
30,2,650,47,20,3.1914895,5.8,14.7233925,34,1,55,51,44,1,1,1
30,2,660,43,23,3.488372,5.3913045,10.11295,26,1,55,51,44,1,1,1
30,2,670,50,20,3,5.7,10.530612,36,1,55,51,44,1,1,1
30,2,680,47,18,3.1914895,6.3333335,18.679914,36,1,55,51,44,1,1,1
30,2,690,46,15,3.2608695,7.5333333,26.152676,37,1,55,51,44,1,1,1
30,2,700,38,13,3.9473684,9.384615,54.807983,28.000008,1,55,51,44,1,1,1
30,2,710,43,17,3.488372,7.0588236,19.446304,30,1,55,51,44,1,1,1
30,2,720,36,15,4.1666665,8.266666,41.742893,26,1,55,51,44,1,1,1
30,2,730,39,19,3.8461537,6.5789475,20.607285,25,1,55,51,44,1,1,1
30,2,740,41,15,3.6585367,7.733333,20.430481,34,1,55,51,44,1,1,1
30,2,750,41,18,3.6585367,6.611111,16.280483,31,1,55,51,44,1,1,1
30,2,760,43,20,3.488372,5.95,11.922475,31,1,55,51,44,1,1,1
30,2,770,36,18,4.1666665,6.9444447,31.342865,25,1,55,51,44,1,1,1
30,2,780,31,13,4.83871,9.615385,57.073116,24.999992,1,55,51,44,1,1,1
30,2,790,34,14,4.4117646,8.785714,30.370766,27,1,55,51,44,1,1,1
30,2,800,33,13,4.5454545,9.384615,38.25566,28.000008,1,55,51,44,1,1,1
30,2,810,31,14,4.83871,9,35.40646,24,1,55,51,44,1,1,1
30,2,820,32,15,4.6875,8.4,33.254032,24.000008,1,55,51,44,1,1,1
30,2,830,28,10,5.357143,12.5,120.83067,25,1,55,51,44,1,1,1
30,2,840,32,17,4.6875,7.647059,24.673388,20,1,55,51,44,1,1,1
30,2,850,32,17,4.6875,7.647059,41.96371,20,1,55,51,44,1,1,1
30,2,860,32,20,4.6875,6.7,26.737904,16,1,55,51,44,1,1,1
30,2,870,33,19,4.5454545,7,31.130686,17,1,55,51,44,1,1,1
30,2,880,38,21,3.9473684,6.1904764,15.564718,20,1,55,51,44,1,1,1
30,2,890,34,18,4.4117646,7.2222223,35.70411,20,1,55,51,44,1,1,1
30,2,900,34,20,4.4117646,6.55,19.825314,19,1,55,51,44,1,1,1
30,2,910,35,22,4.285714,6.090909,17.621847,16,1,55,51,44,1,1,1
30,2,920,36,20,4.1666665,6.5,17.05714,20,1,55,51,44,1,1,1
30,2,930,37,19,4.0540543,6.6842103,26.997002,23.000008,1,55,51,44,1,1,1
30,2,940,38,19,3.9473684,6.631579,19.618769,24,1,55,51,44,1,1,1
30,2,950,41,18,3.6585367,6.5555553,17.880482,32,1,55,51,44,1,1,1
30,2,960,42,17,3.5714285,6.882353,18.348429,33,1,55,51,44,1,1,1
30,2,970,38,16,3.9473684,7.5,35.186344,30,1,55,51,44,1,1,1
30,2,980,38,16,3.9473684,7.625,31.186348,28,1,55,51,44,1,1,1
30,2,990,35,14,4.285714,8.857142,49.21007,26.000008,1,55,51,44,1,1,1
30,2,1000,34,14,4.4117646,8.785714,62.795017,27,1,55,51,44,1,1,1
30,3,10,100,8,1.5,4.75,1.6868687,112,0.99333334,49,49,51,0.98,1,1
30,3,20,116,6,1.2931035,3.6666667,0.46986544,128,0.99333334,49,49,51,0.98,1,1
30,3,30,110,9,1.3636364,3.8888888,0.8757309,115,1,50,49,51,1,1,1
30,3,40,106,11,1.4150944,3.8181818,1.0070078,108,1,50,49,51,1,1,1
30,3,50,99,12,1.5151515,4,1.0686452,102,1,50,49,51,1,1,1
30,3,60,92,11,1.6304348,4.7272725,1.8399415,98,1,50,49,51,1,1,1
30,3,70,98,8,1.5306122,5.25,2.6433866,108,1,50,49,51,1,1,1
30,3,80,94,12,1.5957447,4.0833335,1.2541751,101,1,50,49,51,1,1,1
30,3,90,84,14,1.7857143,4.357143,2.0740075,89,1,50,49,51,1,1,1
30,3,100,91,13,1.6483517,4,1.6083025,98,1,50,49,51,1,1,1
30,3,110,84,18,1.7857143,4,1.9535252,78,1,50,49,51,1,1,1
30,3,120,81,19,1.8518518,4.105263,2.3277743,72,1,50,49,51,1,1,1
